,predicted_mean
2025-01-02 00:00:00,430.70788183981324
2025-01-02 00:01:00,410.66247913659265
2025-01-02 00:02:00,388.6272141314563
2025-01-02 00:03:00,433.5842814928326
2025-01-02 00:04:00,439.1408577388467
2025-01-02 00:05:00,460.90212845695396
2025-01-02 00:06:00,427.5359183672075
2025-01-02 00:07:00,427.6058853962934
2025-01-02 00:08:00,430.73802970704986
2025-01-02 00:09:00,437.01545388751646
2025-01-02 00:10:00,437.1051477264174
2025-01-02 00:11:00,435.7450693373343
2025-01-02 00:12:00,432.8584084782259
2025-01-02 00:13:00,433.7435555260591
2025-01-02 00:14:00,434.6753001003119
2025-01-02 00:15:00,435.14244685570185
2025-01-02 00:16:00,434.7823584239834
2025-01-02 00:17:00,434.4335698607296
2025-01-02 00:18:00,434.33121594812366
2025-01-02 00:19:00,434.54936366616334
2025-01-02 00:20:00,434.65243276364424
2025-01-02 00:21:00,434.6299081129874
2025-01-02 00:22:00,434.553064700546
2025-01-02 00:23:00,434.52813668649355
2025-01-02 00:24:00,434.54938690337275
2025-01-02 00:25:00,434.5783553297333
2025-01-02 00:26:00,434.5791586986513
2025-01-02 00:27:00,434.567193849743
2025-01-02 00:28:00,434.5593176231228
2025-01-02 00:29:00,434.5615532869481
2025-01-02 00:30:00,434.56654386471166
2025-01-02 00:31:00,434.56832259884743
2025-01-02 00:32:00,434.56652053279697
2025-01-02 00:33:00,434.5647973005444
2025-01-02 00:34:00,434.5647091669541
2025-01-02 00:35:00,434.5655708986002
2025-01-02 00:36:00,434.56606567207075
2025-01-02 00:37:00,434.5659041817759
2025-01-02 00:38:00,434.56555415737154
2025-01-02 00:39:00,434.5654571097947
2025-01-02 00:40:00,434.56557767052163
2025-01-02 00:41:00,434.5656944774396
2025-01-02 00:42:00,434.5656949074844
2025-01-02 00:43:00,434.56563624455674
2025-01-02 00:44:00,434.56560391233
2025-01-02 00:45:00,434.56561688932845
2025-01-02 00:46:00,434.5656399862039
2025-01-02 00:47:00,434.56564599064245
2025-01-02 00:48:00,434.5656373789698
2025-01-02 00:49:00,434.5656297250868
2025-01-02 00:50:00,434.56562996498263
2025-01-02 00:51:00,434.5656340176666
2025-01-02 00:52:00,434.5656360551422
2025-01-02 00:53:00,434.56563510026393
2025-01-02 00:54:00,434.5656335428414
2025-01-02 00:55:00,434.56563319387436
2025-01-02 00:56:00,434.5656337977008
2025-01-02 00:57:00,434.5656343015814
2025-01-02 00:58:00,434.565634264029
2025-01-02 00:59:00,434.56563398803854
